Indexcd,Idxtrd01,Idxtrd08
1,2020-02-19,-0.3206
1,2020-02-20,1.8402
1,2020-02-21,0.314
1,2020-02-24,-0.2775
1,2020-02-25,-0.5999
1,2020-02-26,-0.8337
1,2020-02-27,0.1138
1,2020-02-28,-3.7116
1,2020-03-02,3.1464
1,2020-03-03,0.7394
1,2020-03-04,0.6271
1,2020-03-05,1.9926
1,2020-03-06,-1.21
1,2020-03-09,-3.0061
1,2020-03-10,1.8167
1,2020-03-11,-0.9425
1,2020-03-12,-1.517
1,2020-03-13,-1.2334
1,2020-03-16,-3.4
1,2020-03-17,-0.3446
1,2020-03-18,-1.8306
1,2020-03-19,-0.9758
1,2020-03-20,1.6094
1,2020-03-23,-3.1123
1,2020-03-24,2.3409
1,2020-03-25,2.1728
1,2020-03-26,-0.5997
1,2020-03-27,0.2637
1,2020-03-30,-0.9014
1,2020-03-31,0.1122
1,2020-04-01,-0.5735
1,2020-04-02,1.6864
1,2020-04-03,-0.5988
1,2020-04-07,2.0541
1,2020-04-08,-0.1912
1,2020-04-09,0.3742
1,2020-04-10,-1.0359
1,2020-04-13,-0.4857
1,2020-04-14,1.5894
1,2020-04-15,-0.5698
1,2020-04-16,0.3116
1,2020-04-17,0.6582
1,2020-04-20,0.4953
1,2020-04-21,-0.8953
1,2020-04-22,0.6002
1,2020-04-23,-0.1927
1,2020-04-24,-1.0558
1,2020-04-27,0.248
1,2020-04-28,-0.1943
1,2020-04-29,0.4419
1,2020-04-30,1.3336
1,2020-05-06,0.6314
1,2020-05-07,-0.2299
1,2020-05-08,0.8296
1,2020-05-11,-0.0187
1,2020-05-12,-0.1121
1,2020-05-13,0.2246
1,2020-05-14,-0.9561
1,2020-05-15,-0.0656
1,2020-05-18,0.2426
1,2020-05-19,0.8054
1,2020-05-20,-0.5119
1,2020-05-21,-0.5484
1,2020-05-22,-1.8884
1,2020-05-25,0.1494
1,2020-05-26,1.0141
1,2020-05-27,-0.3423
1,2020-05-28,0.332
1,2020-05-29,0.2153
1,2020-06-01,2.2115
1,2020-06-02,0.2047
1,2020-06-03,0.0675
1,2020-06-04,-0.1409
1,2020-06-05,0.3956
1,2020-06-08,0.2379
1,2020-06-09,0.6243
1,2020-06-10,-0.4181
1,2020-06-11,-0.7764
1,2020-06-12,-0.0396
1,2020-06-15,-1.0176
1,2020-06-16,1.4435
1,2020-06-17,0.1407
1,2020-06-18,0.1172
1,2020-06-19,0.9635
1,2020-06-22,-0.0796
1,2020-06-23,0.1804
1,2020-06-24,0.3006
1,2020-06-29,-0.6053
1,2020-06-30,0.782
1,2020-07-01,1.384
1,2020-07-02,2.1344
1,2020-07-03,2.014
1,2020-07-06,5.7113
1,2020-07-07,0.3737
1,2020-07-08,1.7368
1,2020-07-09,1.3855
1,2020-07-10,-1.9496
1,2020-07-13,1.7723
1,2020-07-14,-0.8325
1,2020-07-15,-1.5614
1,2020-07-16,-4.4984
1,2020-07-17,0.1255
1,2020-07-20,3.1119
1,2020-07-21,0.2036
1,2020-07-22,0.3694
1,2020-07-23,-0.2416
1,2020-07-24,-3.8598
1,2020-07-27,0.2646
1,2020-07-28,0.7092
1,2020-07-29,2.063
1,2020-07-30,-0.2346
1,2020-07-31,0.7054
1,2020-08-03,1.751
1,2020-08-04,0.1105
1,2020-08-05,0.1743
1,2020-08-06,0.2634
1,2020-08-07,-0.9576
1,2020-08-10,0.7518
1,2020-08-11,-1.153
1,2020-08-12,-0.6294
1,2020-08-13,0.044
1,2020-08-14,1.1857
1,2020-08-17,2.3423
1,2020-08-18,0.3573
1,2020-08-19,-1.2448
1,2020-08-20,-1.2978
1,2020-08-21,0.4989
1,2020-08-24,0.1466
1,2020-08-25,-0.3562
1,2020-08-26,-1.2995
1,2020-08-27,0.6119
1,2020-08-28,1.6028
1,2020-08-31,-0.2388
1,2020-09-01,0.4396
1,2020-09-02,-0.1702
1,2020-09-03,-0.5821
1,2020-09-04,-0.8749
1,2020-09-07,-1.8709
1,2020-09-08,0.7236
1,2020-09-09,-1.8631
1,2020-09-10,-0.6085
1,2020-09-11,0.789
1,2020-09-14,0.5664
1,2020-09-15,0.5144
1,2020-09-16,-0.3567
1,2020-09-17,-0.4108
1,2020-09-18,2.0687
1,2020-09-21,-0.6337
1,2020-09-22,-1.2853
1,2020-09-23,0.1652
1,2020-09-24,-1.7238
1,2020-09-25,-0.1166
1,2020-09-28,-0.0585
1,2020-09-29,0.2121
1,2020-09-30,-0.1956
1,2020-10-09,1.6788
1,2020-10-12,2.6402
1,2020-10-13,0.0383
1,2020-10-14,-0.5647
1,2020-10-15,-0.2573
1,2020-10-16,0.1253
1,2020-10-19,-0.7101
1,2020-10-20,0.466
1,2020-10-21,-0.0925
1,2020-10-22,-0.3767
1,2020-10-23,-1.0416
1,2020-10-26,-0.82
1,2020-10-27,0.0983
1,2020-10-28,0.4585
1,2020-10-29,0.1067
1,2020-10-30,-1.4726
1,2020-11-02,0.0182
1,2020-11-03,1.4249
1,2020-11-04,0.1946
1,2020-11-05,1.3026
1,2020-11-06,-0.2402
1,2020-11-09,1.8591
1,2020-11-10,-0.4027
1,2020-11-11,-0.5341
1,2020-11-12,-0.1054
1,2020-11-13,-0.8558
1,2020-11-16,1.1137
1,2020-11-17,-0.2114
1,2020-11-18,0.2218
1,2020-11-19,0.4716
1,2020-11-20,0.4353
1,2020-11-23,1.0884
1,2020-11-24,-0.3417
1,2020-11-25,-1.1901
1,2020-11-26,0.2203
1,2020-11-27,1.1447
1,2020-11-30,-0.4856
1,2020-12-01,1.7744
1,2020-12-02,-0.0741
1,2020-12-03,-0.21
1,2020-12-04,0.071
1,2020-12-07,-0.8122
1,2020-12-08,-0.1881
1,2020-12-09,-1.1206
1,2020-12-10,0.0389
1,2020-12-11,-0.7733
1,2020-12-14,0.6551
1,2020-12-15,-0.056
1,2020-12-16,-0.0074
1,2020-12-17,1.1253
1,2020-12-18,-0.293
1,2020-12-21,0.7562
1,2020-12-22,-1.8648
1,2020-12-23,0.7608
1,2020-12-24,-0.5679
1,2020-12-25,0.9946
1,2020-12-28,0.0213
1,2020-12-29,-0.5372
1,2020-12-30,1.0481
1,2020-12-31,1.7167
1,2021-01-04,0.8606
1,2021-01-05,0.7342
1,2021-01-06,0.6291
1,2021-01-07,0.7133
1,2021-01-08,-0.1705
1,2021-01-11,-1.0815
1,2021-01-12,2.1759
1,2021-01-13,-0.2685
1,2021-01-14,-0.91
1,2021-01-15,0.0133
1,2021-01-18,0.8369
1,2021-01-19,-0.8298
1,2021-01-20,0.4686
1,2021-01-21,1.0653
1,2021-01-22,-0.4008
1,2021-01-25,0.4849
1,2021-01-26,-1.5123
1,2021-01-27,0.1096
1,2021-01-28,-1.9076
1,2021-01-29,-0.6307
1,2021-02-01,0.6378
1,2021-02-02,0.8102
1,2021-02-03,-0.4635
1,2021-02-04,-0.4392
1,2021-02-05,-0.1578
