PERMNO,date,TICKER,RET,sprtrn
84403,2020/12/31,WWD,0.086739,0.037121
89393,2010/01/29,NFLX,0.129969,-0.036974
89393,2010/02/26,NFLX,0.061044,0.028514
89393,2010/03/31,NFLX,0.116427,0.058796
89393,2010/04/30,NFLX,0.341199,0.014759
89393,2010/05/28,NFLX,0.123862,-0.081976
89393,2010/06/30,NFLX,-0.022492,-0.053882
89393,2010/07/30,NFLX,-0.056144,0.068778
89393,2010/08/31,NFLX,0.223988,-0.047449
89393,2010/09/30,NFLX,0.291906,0.087551
89393,2010/10/29,NFLX,0.070363,0.036856
89393,2010/11/30,NFLX,0.186265,-0.002290
89393,2010/12/31,NFLX,-0.146673,0.065300
89393,2011/01/31,NFLX,0.218441,0.022646
89393,2011/02/28,NFLX,-0.034613,0.031957
89393,2011/03/31,NFLX,0.150530,-0.001047
89393,2011/04/29,NFLX,-0.021490,0.028495
89393,2011/05/31,NFLX,0.163880,-0.013501
89393,2011/06/30,NFLX,-0.029948,-0.018258
89393,2011/07/29,NFLX,0.012562,-0.021474
89393,2011/08/31,NFLX,-0.116471,-0.056791
89393,2011/09/30,NFLX,-0.518021,-0.071762
89393,2011/10/31,NFLX,-0.275360,0.107723
89393,2011/11/30,NFLX,-0.213816,-0.005059
89393,2011/12/30,NFLX,0.073764,0.008533
89393,2012/01/31,NFLX,0.734738,0.043583
89393,2012/02/29,NFLX,-0.078785,0.040589
89393,2012/03/30,NFLX,0.038923,0.031332
89393,2012/04/30,NFLX,-0.303373,-0.007497
89393,2012/05/31,NFLX,-0.208385,-0.062651
89393,2012/06/29,NFLX,0.079524,0.039555
89393,2012/07/31,NFLX,-0.169891,0.012598
89393,2012/08/31,NFLX,0.050484,0.019763
89393,2012/09/28,NFLX,-0.088413,0.024236
89393,2012/10/31,NFLX,0.455536,-0.019789
89393,2012/11/30,NFLX,0.031179,0.002847
89393,2012/12/31,NFLX,0.133154,0.007068
89393,2013/01/31,NFLX,0.784642,0.050428
89393,2013/02/28,NFLX,0.138223,0.011061
