"Markettype","Trdmnt","Mretwdos","Mmvosd"
"1","2004-09","0.048182","767875088.250"
"8","2004-09","0.096940","40221193.840"
"2","2004-10","-0.074655","4065012.970"
"4","2004-10","-0.058364","417461876.480"
"1","2004-10","-0.052676","727895273.100"
"8","2004-10","-0.070787","37810036.770"
"2","2004-11","-0.031827","3935633.110"
"4","2004-11","0.020715","424766066.660"
"1","2004-11","0.023902","750779924.140"
"8","2004-11","0.050954","39791365.740"
"2","2004-12","-0.083197","3627314.610"
"4","2004-12","-0.078422","395148004.950"
"1","2004-12","-0.062920","705145969.390"
"8","2004-12","-0.078496","36667864.270"
"2","2005-01","-0.019403","3556932.880"
"4","2005-01","-0.061669","370901738.620"
"1","2005-01","-0.057304","666557674.730"
"8","2005-01","0.039364","38111291.620"
"2","2005-02","0.098124","3905953.270"
"4","2005-02","0.101367","408499254.530"
"1","2005-02","0.092677","730301493.530"
"8","2005-02","0.118896","42642598.660"
"2","2005-03","-0.052038","3702692.960"
"4","2005-03","-0.104292","366769182.710"
"1","2005-03","-0.107034","653129237.790"
"8","2005-03","-0.015027","46671641.010"
"2","2005-04","-0.025404","3608629.820"
"4","2005-04","-0.039897","351909413.250"
"1","2005-04","-0.025799","636317704.530"
"8","2005-04","-0.014972","45659652.160"
"2","2005-05","-0.105971","3190905.650"
"4","2005-05","-0.075361","324627694.810"
"1","2005-05","-0.065935","602116749.610"
"8","2005-05","-0.084896","41461746.200"
"2","2005-06","-0.015906","3098853.510"
"4","2005-06","-0.007010","322351518.750"
"1","2005-06","0.024110","613300360.100"
"8","2005-06","-0.062911","38675046.560"
"2","2005-07","-0.090552","2783311.090"
"4","2005-07","-0.023576","313534297.730"
"1","2005-07","-0.014352","602394271.790"
"8","2005-07","0.013538","39107709.390"
"2","2005-08","0.108545","3084917.480"
"4","2005-08","0.097689","342079448.580"
"1","2005-08","0.083613","653907413.630"
"8","2005-08","0.004603","39226567.120"
"2","2005-09","0.042630","3216429.760"
"4","2005-09","0.007210","346576851.900"
"1","2005-09","0.003398","658024024.000"
"8","2005-09","0.014858","39809404.010"
"2","2005-10","-0.116848","2855218.680"
"4","2005-10","-0.049084","327518636.820"
"1","2005-10","-0.052002","620717807.650"
"8","2005-10","-0.153646","33692827.020"
"2","2005-11","0.020552","2920054.800"
"4","2005-11","-0.000057","329201571.260"
"1","2005-11","-0.002359","619748248.650"
"8","2005-11","0.021761","34426042.300"
"2","2005-12","0.017779","2971971.660"
"4","2005-12","0.056488","344463458.570"
"1","2005-12","0.047590","649607681.010"
"8","2005-12","0.010966","34803582.240"
"2","2006-01","0.397096","4161877.730"
"4","2006-01","0.106445","375555080.850"
"1","2006-01","0.090154","703319135.200"
"8","2006-01","0.262165","43855982.400"
"2","2006-02","-0.002772","4150337.520"
"4","2006-02","0.039279","379153697.770"
"1","2006-02","0.031872","732884243.730"
"8","2006-02","0.014755","44503116.350"
"2","2006-03","0.023566","4248145.150"
"4","2006-03","0.028457","398341505.260"
"1","2006-03","0.010597","722266450.690"
"8","2006-03","0.055157","46957794.840"
"2","2006-04","0.027574","4365286.940"
"4","2006-04","0.109815","442178600.920"
"1","2006-04","0.117861","803213420.940"
"8","2006-04","0.081052","50760610.550"
"2","2006-05","0.070650","4630944.700"
"4","2006-05","0.216554","527246361.010"
"1","2006-05","0.198152","960597752.950"
"8","2006-05","0.064644","53746666.110"
"2","2006-06","-0.036923","4444225.110"
"4","2006-06","0.049494","549214810.220"
"1","2006-06","0.041245","1009927133.600"
"8","2006-06","-0.019061","52459397.770"
"2","2006-07","-0.001455","4412153.150"
"4","2006-07","-0.058505","514127638.240"
"1","2006-07","-0.053249","966982991.480"
"8","2006-07","-0.034048","49956265.000"
"2","2006-08","0.010889","4456084.490"
"1","2006-08","0.035980","1036188021.680"
"8","2006-08","0.026117","51160106.900"
"4","2006-08","0.039628","537864916.880"
"2","2006-09","0.174677","5234460.390"
"1","2006-09","0.054026","1106125843.020"
"8","2006-09","0.098974","56203605.750"
"4","2006-09","0.041722","564585908.010"
"2","2006-10","-0.002062","5223663.370"
"1","2006-10","0.020366","1178279474.950"
"8","2006-10","0.048378","58922683.470"
"4","2006-10","0.016705","581858234.960"
"2","2006-11","0.120880","5855101.060"
"1","2006-11","0.123337","1340006418.240"
"8","2006-11","0.107541","66328735.190"
"4","2006-11","0.120563","667593106.500"
"2","2006-12","0.079997","6323497.070"
"1","2006-12","0.158519","1580749329.150"
"8","2006-12","0.166038","77341873.970"
"4","2006-12","0.115966","763982908.710"
"2","2007-01","0.234882","7808778.490"
"1","2007-01","0.191980","1943676158.010"
"8","2007-01","0.056972","81045822.440"
"4","2007-01","0.199118","914067924.210"
"2","2007-02","0.109934","8667234.410"
"1","2007-02","0.092254","2157296169.570"
"8","2007-02","0.075158","87507764.970"
"4","2007-02","0.135815","1042131321.830"
"2","2007-03","-0.003036","8640916.320"
"1","2007-03","0.121139","2486892242.880"
"8","2007-03","0.057940","92577998.170"
"4","2007-03","0.135090","1210668991.550"
"2","2007-04","0.300667","11235725.110"
"1","2007-04","0.292456","3350423700.040"
"8","2007-04","0.191451","108808238.800"
"4","2007-04","0.310451","1639665322.670"
"2","2007-05","0.308074","14579798.010"
"1","2007-05","0.084650","3774608013.940"
"8","2007-05","0.102500","119902844.020"
"4","2007-05","0.139638","1834394399.150"
"2","2007-06","-0.150970","12451587.060"
"1","2007-06","-0.081023","3571023317.390"
"8","2007-06","-0.015498","117352780.160"
"4","2007-06","-0.091076","1703629316.120"
"2","2007-07","0.289084","16020873.570"
"1","2007-07","0.190893","4315714585.930"
"8","2007-07","0.159075","135660688.030"
"4","2007-07","0.207902","2105052261.230"
"2","2007-08","-0.014077","15791401.090"
"1","2007-08","0.167286","5096221860.300"
"8","2007-08","-0.045677","129435457.030"
"4","2007-08","0.146161","2489173383.640"
"2","2007-09","0.138292","17663510.730"
"1","2007-09","0.050619","5514374445.730"
"8","2007-09","0.050215","135935141.160"
"4","2007-09","0.049316","2628290614.770"
"2","2007-10","0.058040","18688719.310"
"1","2007-10","-0.007822","5906204956.090"
"8","2007-10","0.016769","138382938.390"
"4","2007-10","-0.035740","2556558687.090"
"2","2007-11","-0.101298","16584882.910"
"1","2007-11","-0.140000","5256435884.990"
"8","2007-11","-0.127479","122282943.630"
"4","2007-11","-0.156041","2231315043.840"
"2","2007-12","0.068858","17726888.200"
"1","2007-12","0.139016","6257581025.880"
"8","2007-12","0.028610","125781528.470"
"4","2007-12","0.174280","2679740048.260"
"2","2008-01","-0.175565","14840431.430"
"1","2008-01","-0.123484","5587053778.960"
"8","2008-01","-0.099956","112469767.020"
"4","2008-01","-0.083905","2529560044.770"
"2","2008-02","0.027106","14997612.540"
"1","2008-02","0.030852","6054787188.930"
"8","2008-02","-0.007341","111644074.570"
"4","2008-02","0.044757","2645585052.550"
"2","2008-03","-0.176302","12353502.600"
"1","2008-03","-0.195827","5097911229.010"
"8","2008-03","-0.119516","99023776.270"
"4","2008-03","-0.185107","2186011807.220"
"2","2008-04","0.022304","12601350.540"
"1","2008-04","0.046539","5450319634.440"
"8","2008-04","0.025486","99990402.130"
"4","2008-04","-0.015179","2165290313.530"
"2","2008-05","-0.072370","11814647.700"
"1","2008-05","-0.079913","5264089141.330"
"8","2008-05","-0.050082","93241452.000"
"4","2008-05","-0.067822","2035928150.060"
"2","2008-06","-0.132343","10196375.210"
"1","2008-06","-0.223026","4079832085.900"
"8","2008-06","-0.124012","83527799.110"
"4","2008-06","-0.241867","1597975618.740"
"2","2008-07","0.004686","10231018.000"
"1","2008-07","0.024432","4246397252.760"
