code,date,pred,true
12,2022/7/13 0:00,-0.1720461994409561,-0.1664135307073593
12,2022/7/14 0:00,-0.1807122230529785,-0.1736940741539001
12,2022/7/15 0:00,-0.1897118240594864,-0.2100953310728073
12,2022/7/18 0:00,-0.1722730100154876,-0.1821879893541336
12,2022/7/19 0:00,-0.1650860905647277,-0.2222288846969604
12,2022/7/20 0:00,-0.1825259327888488,-0.2076682299375534
12,2022/7/21 0:00,-0.2025038301944732,-0.2222289144992828
12,2022/7/22 0:00,-0.2218239605426788,-0.2343629151582718
12,2022/7/25 0:00,-0.2590663433074951,-0.2525636553764343
12,2022/7/26 0:00,-0.2634942829608917,-0.2295097112655639
12,2022/7/27 0:00,-0.2560272812843323,-0.2210158258676529
12,2022/7/28 0:00,-0.2435056269168853,-0.2234423756599426
