Markettype,Trdmnt,Mretwdeq,Mretmdeq,Mretwdos,Mretmdos
1,2009-05,0.06976,0.069772,0.050406,0.050436
4,2009-05,0.074049,0.074067,0.064897,0.064911
1,2009-06,0.077171,0.077085,0.126153,0.125783
4,2009-06,0.102246,0.102216,0.092716,0.092627
1,2009-07,0.149186,0.149133,0.174293,0.174138
4,2009-07,0.1457,0.14566,0.165675,0.165558
1,2009-08,-0.162471,-0.162438,-0.222727,-0.22269
4,2009-08,-0.152563,-0.152545,-0.186721,-0.186704
1,2009-09,0.032357,0.032361,0.051885,0.051889
4,2009-09,0.059025,0.059049,0.051255,0.051226
16,2009-10,,,,
1,2009-10,0.114522,0.114512,0.088416,0.088411
4,2009-10,0.127087,0.127045,0.117305,0.117285
16,2009-11,0.081867,0.081867,0.050551,0.050551
1,2009-11,0.14309,0.143047,0.073822,0.073801
4,2009-11,0.148882,0.148877,0.123098,0.123047
16,2009-12,-0.06611,-0.06611,-0.095104,-0.095104
1,2009-12,0.020839,0.020818,0.03304,0.033036
4,2009-12,0.030373,0.030372,0.021559,0.021555
16,2010-01,-0.106928,-0.106928,-0.129531,-0.129531
1,2010-01,-0.032092,-0.032092,-0.090872,-0.090872
4,2010-01,-0.031677,-0.031681,-0.063969,-0.06398
16,2010-02,0.092394,0.092394,0.113494,0.113494
1,2010-02,0.061922,0.061934,0.02509,0.025093
4,2010-02,0.070105,0.070105,0.050563,0.050563
16,2010-03,0.155908,0.155898,0.201985,0.201971
1,2010-03,0.031832,0.031818,0.025675,0.025648
4,2010-03,0.05267,0.052656,0.021045,0.02104
16,2010-04,-0.122142,-0.121987,-0.141755,-0.141567
1,2010-04,-0.070046,-0.070021,-0.077184,-0.077143
4,2010-04,-0.069521,-0.0695,-0.075385,-0.07536
16,2010-05,-0.031001,-0.031101,-0.027142,-0.027241
1,2010-05,-0.094071,-0.094052,-0.086534,-0.086397
4,2010-05,-0.07422,-0.074201,-0.073912,-0.073879
16,2010-06,-0.060776,-0.060771,-0.083787,-0.083757
1,2010-06,-0.099241,-0.099082,-0.072458,-0.072026
4,2010-06,-0.083781,-0.083664,-0.08792,-0.087773
16,2010-07,0.05948,0.05947,0.052862,0.052854
1,2010-07,0.155629,0.155479,0.111845,0.111638
4,2010-07,0.147343,0.147244,0.154745,0.154573
16,2010-08,0.047242,0.047242,0.056568,0.056568
1,2010-08,0.078093,0.078063,0.003982,0.003959
4,2010-08,0.102946,0.102931,0.088633,0.088606
16,2010-09,-0.073222,-0.073214,-0.082507,-0.082494
1,2010-09,0.026801,0.026792,0.010801,0.010648
4,2010-09,0.003223,0.003216,0.013482,0.013476
16,2010-10,0.114313,0.114313,0.133023,0.133023
1,2010-10,0.093463,0.093442,0.12099,0.120958
4,2010-10,0.090723,0.09072,0.118454,0.118453
16,2010-11,0.096067,0.096067,0.1043,0.1043
1,2010-11,-0.006866,-0.006867,-0.054997,-0.055385
4,2010-11,0.021299,0.021299,-0.016503,-0.016503
16,2010-12,-0.029539,-0.029539,-0.037035,-0.037035
1,2010-12,-0.021368,-0.021379,-0.008405,-0.008419
4,2010-12,-0.017144,-0.017144,-0.008524,-0.008523
16,2011-01,-0.09814,-0.09814,-0.100086,-0.100086
1,2011-01,-0.02661,-0.026609,-0.005056,-0.005053
4,2011-01,-0.068678,-0.068688,-0.062748,-0.062761
16,2011-02,0.06072,0.06072,0.063944,0.063944
1,2011-02,0.095469,0.095469,0.040288,0.040289
4,2011-02,0.097853,0.097846,0.092968,0.092961
16,2011-03,-0.06059,-0.060566,-0.074775,-0.074736
1,2011-03,0.006543,0.006545,0.012258,0.01226
4,2011-03,-0.015835,-0.015828,-0.02358,-0.02355
16,2011-04,-0.095537,-0.095422,-0.093458,-0.093316
1,2011-04,-0.017059,-0.017034,-0.005887,-0.005875
4,2011-04,-0.040356,-0.040323,-0.033303,-0.033283
16,2011-05,-0.069875,-0.069702,-0.07127,-0.071098
1,2011-05,-0.065681,-0.065623,-0.056524,-0.056484
4,2011-05,-0.079398,-0.079268,-0.07071,-0.070626
16,2011-06,0.012378,0.012371,0.008611,0.008604
1,2011-06,0.029913,0.029859,0.018117,0.017755
4,2011-06,0.043638,0.043587,0.042592,0.042524
16,2011-07,0.073684,0.073696,0.07556,0.07558
1,2011-07,0.011198,0.01123,-0.018843,-0.018811
4,2011-07,0.029511,0.029515,0.010136,0.010207
16,2011-08,0.029282,0.029282,0.016177,0.016178
1,2011-08,-0.039161,-0.039154,-0.049718,-0.049712
4,2011-08,-0.019813,-0.019782,-0.038442,-0.038425
16,2011-09,-0.14211,-0.14209,-0.145254,-0.145228
1,2011-09,-0.111553,-0.111545,-0.07764,-0.07765
4,2011-09,-0.12057,-0.120548,-0.116496,-0.116486
16,2011-10,0.076352,0.076352,0.071851,0.071854
1,2011-10,0.040375,0.041498,0.047793,0.047862
4,2011-10,0.038807,0.038806,0.029392,0.029392
16,2011-11,-0.018915,-0.018915,-0.017312,-0.017312
1,2011-11,-0.049872,-0.049858,-0.051698,-0.051681
4,2011-11,-0.038683,-0.038674,-0.049669,-0.049661
16,2011-12,-0.131729,-0.131729,-0.130445,-0.130445
1,2011-12,-0.152671,-0.152671,-0.052638,-0.052639
4,2011-12,-0.1569,-0.156902,-0.127628,-0.127634
16,2012-01,-0.099909,-0.099909,-0.109243,-0.109243
1,2012-01,0.024898,0.024898,0.044134,0.044134
4,2012-01,-0.007482,-0.007482,0.006554,0.006554
16,2012-02,0.150616,0.150614,0.142535,0.142534
1,2012-02,0.120464,0.120456,0.056982,0.056973
4,2012-02,0.137947,0.137947,0.113753,0.113748
16,2012-03,-0.086413,-0.086417,-0.082994,-0.083018
1,2012-03,-0.075586,-0.075587,-0.068417,-0.068418
4,2012-03,-0.068998,-0.068994,-0.069391,-0.069391
16,2012-04,0.013036,0.013089,0.014908,0.014954
1,2012-04,0.094522,0.094527,0.059006,0.059009
4,2012-04,0.059056,0.059067,0.063546,0.063552
16,2012-05,0.056025,0.055965,0.063603,0.063531
1,2012-05,0.011361,0.011353,-0.009022,-0.008993
4,2012-05,0.027417,0.027402,0.022192,0.022189
16,2012-06,0.004039,0.004065,-0.00165,-0.00161
1,2012-06,-0.076204,-0.076099,-0.048867,-0.048684
4,2012-06,-0.05521,-0.055129,-0.057753,-0.057645
16,2012-07,-0.114199,-0.114099,-0.090243,-0.090163
1,2012-07,-0.086307,-0.086183,-0.04881,-0.048689
4,2012-07,-0.096053,-0.095957,-0.070766,-0.070628
16,2012-08,0.073262,0.073262,0.062156,0.062155
1,2012-08,0.014773,0.014801,-0.023993,-0.023897
4,2012-08,0.022687,0.022702,-0.027584,-0.027504
16,2012-09,-0.020433,-0.020406,-0.025955,-0.025942
1,2012-09,0.01745,0.01745,0.024169,0.024173
4,2012-09,0.012142,0.012152,0.027982,0.027992
16,2012-10,-0.014796,-0.014793,-0.002199,-0.002198
1,2012-10,0.000014,0.000014,-0.00895,-0.00895
4,2012-10,0.010078,0.010082,-0.011083,-0.011073
16,2012-11,-0.117498,-0.117494,-0.123387,-0.123386
1,2012-11,-0.095636,-0.095622,-0.043043,-0.043038
4,2012-11,-0.118791,-0.118781,-0.10429,-0.104284
16,2012-12,0.198857,0.19885,0.186824,0.186821
1,2012-12,0.163885,0.163882,0.145906,0.145905
4,2012-12,0.168144,0.168112,0.163549,0.163481
16,2013-01,0.058753,0.058753,0.07575,0.07575
1,2013-01,0.062578,0.062581,0.046982,0.046984
4,2013-01,0.067125,0.067125,0.062277,0.062277
16,2013-02,0.07596,0.07596,0.090545,0.090545
1,2013-02,0.0288,0.0288,-0.009455,-0.009455
4,2013-02,0.055497,0.055497,0.02333,0.02333
16,2013-03,-0.031978,-0.031976,-0.011746,-0.011747
1,2013-03,-0.037252,-0.037205,-0.053236,-0.053217
4,2013-03,-0.031287,-0.031286,-0.047365,-0.047361
16,2013-04,-0.00309,-0.003093,0.012839,0.012823
1,2013-04,-0.036909,-0.036893,-0.026693,-0.026682
4,2013-04,-0.02834,-0.028315,-0.019567,-0.019536
16,2013-05,0.210198,0.210026,0.208446,0.208266
1,2013-05,0.118558,0.118491,0.056905,0.056882
4,2013-05,0.147685,0.14754,0.120384,0.120317
16,2013-06,-0.105682,-0.105524,-0.078672,-0.078579
1,2013-06,-0.165583,-0.165257,-0.127779,-0.127457
4,2013-06,-0.161593,-0.161359,-0.157773,-0.157454
16,2013-07,0.122184,0.12211,0.122816,0.122763
1,2013-07,0.046059,0.046056,0.015445,0.015512
4,2013-07,0.076285,0.076267,0.048691,0.048686
16,2013-08,0.05852,0.058518,0.046404,0.046403
1,2013-08,0.110233,0.110163,0.049617,0.049577
4,2013-08,0.077743,0.077707,0.062578,0.062564
16,2013-09,0.113553,0.113553,0.137869,0.137869
1,2013-09,0.04522,0.045218,0.036149,0.036248
4,2013-09,0.050426,0.050421,0.045539,0.045536
16,2013-10,-0.038109,-0.038109,-0.076185,-0.076185
1,2013-10,-0.021813,-0.021826,-0.013596,-0.013597
4,2013-10,-0.019675,-0.019678,-0.027221,-0.027219
16,2013-11,0.184469,0.184469,0.139172,0.139171
1,2013-11,0.063577,0.063577,0.036393,0.036393
4,2013-11,0.078372,0.078383,0.050985,0.051002
16,2013-12,-0.029753,-0.029753,-0.038262,-0.038262
1,2013-12,-0.044062,-0.044055,-0.046349,-0.046344
4,2013-12,-0.023894,-0.023894,-0.028272,-0.028271
16,2014-01,0.121199,0.121199,0.138034,0.138034
4,2014-01,0.026325,0.026318,-0.005444,-0.005447
1,2014-01,-0.021444,-0.021433,-0.040829,-0.040818
16,2014-02,0.031135,0.031136,-0.012559,-0.012559
4,2014-02,0.049979,0.049979,0.014688,0.014688
1,2014-02,0.036258,0.036255,0.012804,0.012801
16,2014-03,-0.068276,-0.068264,-0.074777,-0.074763
4,2014-03,-0.026322,-0.026315,-0.03566,-0.035652
1,2014-03,-0.007287,-0.007293,-0.008755,-0.008756
16,2014-04,-0.010269,-0.010232,-0.017596,-0.017559
4,2014-04,-0.015058,-0.015032,-0.010892,-0.010866
1,2014-04,-0.010094,-0.010076,-0.003068,-0.003058
