fullname,OnlineTime_YMD,Bankrupt_WDZJ,Province,City,Collapse,Benign,Fraud,RegCapital,Background,Capitaldeposit,Obtaininvest,Joinasso,Autobid,Transright,Riskdeposit,Thirdguarantee
大爱金融,20151113,20171205.0,福建,泉州,1,0.0,0.0,1200.0,民营系,0,0.0,1.0,1,0,0.0,0.0
大博鑫财富,20150415,20160424.0,湖北,武汉,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
大丰收金融,20141117,20180108.0,广东,深圳,1,0.0,0.0,500.0,民营系,0,0.0,1.0,1,0,0.0,1.0
大集金服,20161116,,海南,海口,0,,,10000.0,上市公司,0,0.0,0.0,0,0,0.0,0.0
大佳创投,20141030,20150309.0,广东,深圳,1,0.0,1.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
大麦理财,20141012,,广东,深圳,0,,,300.0,国企背景,1,1.0,1.0,0,0,0.0,0.0
大拇哥财富,20150210,,北京,北京,0,,,500.0,国企背景,1,0.0,0.0,0,1,0.0,1.0
大盈家,20161030,,新疆,乌鲁木齐,0,,,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
代代发,20160205,,北京,北京,0,,,510.0,民营系,0,0.0,0.0,0,0,0.0,0.0
贷宝宝,20150101,20150310.0,北京,北京,1,0.0,1.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
贷贷富,20140924,20160130.0,河南,郑州,1,0.0,0.0,310.0,民营系,0,0.0,0.0,0,0,0.0,0.0
贷你盈,20150125,20180928.0,北京,北京,1,0.0,1.0,500.0,民营系,0,0.0,0.0,1,1,1.0,0.0
贷未来,20140709,20171229.0,浙江,杭州,1,0.0,0.0,111.1,民营系,0,0.0,0.0,0,0,0.0,0.0
贷运来,20130901,20160831.0,江苏,无锡,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
袋鼠贷,20141208,20190219.0,广东,深圳,1,1.0,0.0,300.0,民营系,0,0.0,0.0,1,0,0.0,0.0
当当金融,20150112,20180112.0,浙江,宁波,1,0.0,0.0,100.0,民营系,0,0.0,0.0,1,0,0.0,0.0
道口贷,20141219,,北京,北京,0,,,1183.5,国企背景,1,1.0,1.0,0,0,0.0,0.0
德纯财富,20160321,20160711.0,山东,青岛,1,0.0,0.0,150.0,民营系,0,0.0,0.0,0,0,0.0,0.0
德合在线,20170519,20171009.0,江苏,镇江,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
德鸿普惠,20150403,,北京,北京,0,,,500.0,民营系,1,0.0,0.0,0,1,0.0,0.0
德利贷,20141103,20150721.0,广东,深圳,1,0.0,0.0,500.0,民营系,0,0.0,0.0,1,0,0.0,0.0
德晟金服,20150923,20190331.0,广东,深圳,1,1.0,0.0,500.0,风投系,1,1.0,1.0,0,0,0.0,0.0
滴滴理财,20160128,20170421.0,上海,上海,1,1.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
帝业投资,20150813,20160119.0,山西,忻州,1,0.0,1.0,2000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
点车成金,20150206,20170615.0,上海,上海,1,1.0,0.0,956.62,民营系,1,,,0,0,,
点滴借贷,20160523,20160805.0,北京,北京,1,0.0,0.0,5000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
点滴投资,20150105,20150701.0,浙江,杭州,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
点点聚宝,20140918,20160626.0,云南,昆明,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
点理财,20160711,20170915.0,上海,上海,1,0.0,0.0,1000.0,上市公司,0,0.0,0.0,0,0,0.0,0.0
点心贷,20141121,20170523.0,北京,北京,1,0.0,0.0,55.6,民营系,0,0.0,0.0,0,0,0.0,0.0
鼎财富,20171115,20180813.0,上海,上海,1,0.0,1.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
鼎合资本,20150102,,江苏,苏州,0,,,1200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
鼎有财,20150924,,浙江,杭州,0,,,655.8,上市公司,1,0.0,0.0,0,1,0.0,0.0
鼎源资产,20140926,20150715.0,浙江,杭州,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,1,0.0,0.0
鼎鑫贷,20130601,20160530.0,浙江,嘉兴,1,0.0,0.0,50.0,民营系,0,0.0,0.0,0,0,0.0,0.0
东创贷,20170801,20180417.0,浙江,宁波,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
东方创投,20130619,20131008.0,广东,深圳,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
兜着赚,20150315,20151201.0,上海,上海,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
豆包金服,20160502,,北京,北京,0,,,684.352,民营系,1,,,0,0,,
都能贷,20121001,20140606.0,湖南,长沙,1,0.0,0.0,50.0,民营系,0,0.0,0.0,0,0,0.0,0.0
堆财网,20150408,20160818.0,浙江,杭州,1,1.0,0.0,100.0,民营系,0,0.0,0.0,1,1,0.0,0.0
多彩多乐,20150101,20150113.0,重庆,重庆,1,0.0,0.0,10.0,民营系,0,0.0,0.0,0,0,0.0,0.0
多多宝,20150519,20160913.0,广东,深圳,1,0.0,1.0,100.0,民营系,0,0.0,0.0,1,0,0.0,0.0
多多智富,20140313,20160222.0,广东,深圳,1,1.0,0.0,100.0,民营系,0,0.0,0.0,1,0,0.0,0.0
多乐融,20160504,,北京,北京,0,,,100.0,民营系,1,0.0,0.0,0,0,0.0,0.0
恩之汇,20170824,20180121.0,广西,南宁,1,0.0,1.0,800.0,民营系,0,0.0,0.0,1,0,0.0,0.0
尔达信投,20150416,20150804.0,山东,临沂,1,0.0,1.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
饭盒金服,20150316,20151130.0,福建,厦门,1,0.0,1.0,500.0,民营系,0,0.0,0.0,1,0,0.0,0.0
房贷通,20140724,20160401.0,广东,深圳,1,0.0,1.0,200.0,民营系,0,0.0,0.0,0,0,0.0,0.0
