"SgnDate","Term_EN","Shibor"
"2017-03-09","1 day","2.40760"
"2017-03-09","30 days","4.11260"
"2017-03-09","6 months","4.20100"
"2017-03-09","1 year","4.05390"
"2017-03-10","1 year","4.05510"
"2017-03-10","1 day","2.40190"
"2017-03-10","6 months","4.20310"
"2017-03-10","90 days","4.29420"
"2017-03-10","9 months","4.06040"
"2017-03-10","14 days","3.16100"
"2017-03-10","30 days","4.11530"
"2017-03-10","7 days","2.65500"
"2017-03-13","90 days","4.29250"
"2017-03-13","9 months","4.06480"
"2017-03-13","30 days","4.12260"
"2017-03-13","7 days","2.64900"
"2017-03-13","1 year","4.06140"
"2017-03-13","6 months","4.20540"
"2017-03-13","1 day","2.37900"
"2017-03-13","14 days","3.16300"
"2017-03-14","6 months","4.21460"
"2017-03-14","7 days","2.65200"
"2017-03-14","14 days","3.16800"
"2017-03-14","1 day","2.37610"
"2017-03-14","1 year","4.06780"
"2017-03-14","90 days","4.29250"
"2017-03-14","30 days","4.13430"
"2017-03-14","9 months","4.07640"
"2017-03-15","1 day","2.38690"
"2017-03-15","1 year","4.08180"
"2017-03-15","30 days","4.15370"
"2017-03-15","7 days","2.65600"
"2017-03-15","90 days","4.29330"
"2017-03-15","14 days","3.18250"
"2017-03-15","6 months","4.22050"
"2017-03-15","9 months","4.08370"
"2017-03-16","14 days","3.21370"
"2017-03-16","7 days","2.69380"
"2017-03-16","90 days","4.32670"
"2017-03-16","1 day","2.44100"
"2017-03-16","30 days","4.22180"
"2017-03-16","1 year","4.10520"
"2017-03-16","6 months","4.25810"
"2017-03-16","9 months","4.10940"
"2017-03-17","14 days","3.23600"
"2017-03-17","1 day","2.63300"
"2017-03-17","30 days","4.27750"
"2017-03-17","7 days","2.72500"
"2017-03-17","90 days","4.35070"
"2017-03-17","1 year","4.12460"
"2017-03-17","6 months","4.29090"
"2017-03-17","9 months","4.13400"
"2017-03-20","14 days","3.26900"
"2017-03-20","1 day","2.63250"
"2017-03-20","1 year","4.14350"
"2017-03-20","90 days","4.37110"
"2017-03-20","30 days","4.31720"
"2017-03-20","9 months","4.15040"
"2017-03-20","6 months","4.30910"
"2017-03-20","7 days","2.74710"
"2017-03-21","1 day","2.64770"
"2017-03-21","1 year","4.15590"
"2017-03-21","30 days","4.35580"
"2017-03-21","7 days","2.76800"
"2017-03-21","90 days","4.38460"
"2017-03-21","14 days","3.30700"
"2017-03-21","6 months","4.32180"
"2017-03-21","9 months","4.16210"
"2017-03-22","14 days","3.33720"
"2017-03-22","7 days","2.79100"
"2017-03-22","90 days","4.40770"
"2017-03-22","1 day","2.65070"
"2017-03-22","30 days","4.39590"
"2017-03-22","1 year","4.16490"
"2017-03-22","6 months","4.34600"
"2017-03-22","9 months","4.17130"
"2017-03-23","14 days","3.36500"
"2017-03-23","1 day","2.65700"
"2017-03-23","30 days","4.44750"
"2017-03-23","7 days","2.80700"
"2017-03-23","90 days","4.43960"
"2017-03-23","1 year","4.17170"
