"Markettype","Trdwnt","Cwretmdos"
"33","2017-16","-0.020874"
"20","2017-16","-0.032447"
"10","2017-17","-0.012672"
"5","2017-17","-0.008703"
"15","2017-17","-0.008723"
"21","2017-17","-0.007571"
"31","2017-17","-0.007595"
"37","2017-17","-0.008703"
"47","2017-17","-0.008723"
"53","2017-17","-0.007571"
"63","2017-17","-0.007595"
"69","2017-17","-0.008703"
"79","2017-17","-0.008723"
"85","2017-17","-0.007571"
"95","2017-17","-0.007595"
"101","2017-17","-0.008703"
"111","2017-17","-0.008723"
"117","2017-17","-0.007571"
"127","2017-17","-0.007595"
"33","2017-17","-0.006143"
"20","2017-17","-0.009972"
"10","2017-18","-0.016419"
"5","2017-18","-0.017985"
"15","2017-18","-0.017977"
"21","2017-18","-0.017836"
"31","2017-18","-0.017830"
"37","2017-18","-0.017985"
"47","2017-18","-0.017977"
"53","2017-18","-0.017836"
"63","2017-18","-0.017830"
"69","2017-18","-0.017985"
"79","2017-18","-0.017977"
"85","2017-18","-0.017836"
"95","2017-18","-0.017830"
"101","2017-18","-0.017985"
"111","2017-18","-0.017977"
"117","2017-18","-0.017836"
"127","2017-18","-0.017830"
"33","2017-18","-0.016989"
"20","2017-18","-0.019279"
"10","2017-19","-0.018062"
"5","2017-19","-0.012209"
"15","2017-19","-0.012239"
"21","2017-19","-0.013452"
"31","2017-19","-0.013474"
"37","2017-19","-0.012209"
"47","2017-19","-0.012239"
"53","2017-19","-0.013452"
"63","2017-19","-0.013474"
"69","2017-19","-0.012209"
"79","2017-19","-0.012239"
"85","2017-19","-0.013452"
"95","2017-19","-0.013474"
"101","2017-19","-0.012209"
"111","2017-19","-0.012239"
"117","2017-19","-0.013452"
"127","2017-19","-0.013474"
"33","2017-19","-0.003322"
"20","2017-19","-0.030822"
"10","2017-20","0.010662"
"5","2017-20","0.008466"
"15","2017-20","0.008477"
"21","2017-20","0.009726"
"31","2017-20","0.009730"
"37","2017-20","0.008466"
"47","2017-20","0.008477"
"53","2017-20","0.009726"
"63","2017-20","0.009730"
"69","2017-20","0.008466"
"79","2017-20","0.008477"
"85","2017-20","0.009726"
"95","2017-20","0.009730"
"101","2017-20","0.008466"
"111","2017-20","0.008477"
"117","2017-20","0.009726"
"127","2017-20","0.009730"
"33","2017-20","0.002969"
"20","2017-20","0.021741"
"10","2017-21","-0.012124"
"5","2017-21","0.004428"
"15","2017-21","0.004345"
"21","2017-21","0.001417"
"31","2017-21","0.001354"
"37","2017-21","0.004428"
"47","2017-21","0.004345"
"53","2017-21","0.001417"
"63","2017-21","0.001354"
"69","2017-21","0.004428"
"79","2017-21","0.004345"
"85","2017-21","0.001417"
"95","2017-21","0.001354"
"101","2017-21","0.004428"
"111","2017-21","0.004345"
"117","2017-21","0.001417"
"127","2017-21","0.001354"
"33","2017-21","0.014477"
"20","2017-21","-0.021273"
"10","2017-22","-0.008097"
"5","2017-22","-0.002949"
"15","2017-22","-0.002975"
"21","2017-22","-0.004194"
"31","2017-22","-0.004212"
"37","2017-22","-0.002949"
"47","2017-22","-0.002975"
"53","2017-22","-0.004194"
"63","2017-22","-0.004212"
"69","2017-22","-0.002949"
"79","2017-22","-0.002975"
"85","2017-22","-0.004194"
"95","2017-22","-0.004212"
"101","2017-22","-0.002949"
"111","2017-22","-0.002975"
"117","2017-22","-0.004194"
"127","2017-22","-0.004212"
"33","2017-22","-0.000228"
"20","2017-22","-0.011323"
"10","2017-23","0.038111"
"5","2017-23","0.025390"
"15","2017-23","0.025453"
"21","2017-23","0.026255"
"31","2017-23","0.026309"
"37","2017-23","0.025390"
"47","2017-23","0.025453"
