"Markettype","Trdmnt","Cmretmdos"
"53","2014-01","-0.024017"
"69","2014-01","-0.030862"
"79","2014-01","-0.030806"
"85","2014-01","-0.024017"
"95","2014-01","-0.024018"
"101","2014-01","-0.030862"
"111","2014-01","-0.030806"
"117","2014-01","-0.024017"
"127","2014-01","-0.024018"
"33","2014-01","-0.040818"
"20","2014-01","0.013272"
"10","2014-02","-0.043771"
"5","2014-02","0.013347"
"15","2014-02","0.012874"
"21","2014-02","0.012129"
"31","2014-02","0.011687"
"63","2014-02","0.011687"
"37","2014-02","0.013347"
"47","2014-02","0.012874"
"53","2014-02","0.012129"
"69","2014-02","0.013347"
"79","2014-02","0.012874"
"85","2014-02","0.012129"
"95","2014-02","0.011687"
"101","2014-02","0.013347"
"111","2014-02","0.012874"
"117","2014-02","0.012129"
"127","2014-02","0.011687"
"33","2014-02","0.012801"
"20","2014-02","0.010719"
"10","2014-03","-0.016977"
"5","2014-03","-0.016545"
"15","2014-03","-0.016548"
"21","2014-03","-0.019283"
"31","2014-03","-0.019266"
"63","2014-03","-0.019266"
"37","2014-03","-0.016545"
"47","2014-03","-0.016548"
"53","2014-03","-0.019283"
"69","2014-03","-0.016545"
"79","2014-03","-0.016548"
"85","2014-03","-0.019283"
"95","2014-03","-0.019266"
"101","2014-03","-0.016545"
"111","2014-03","-0.016548"
"117","2014-03","-0.019283"
"127","2014-03","-0.019266"
"33","2014-03","-0.008756"
"20","2014-03","-0.041347"
"10","2014-04","0.011179"
"5","2014-04","-0.005254"
"15","2014-04","-0.005125"
"21","2014-04","-0.005785"
"31","2014-04","-0.005657"
"63","2014-04","-0.005657"
"37","2014-04","-0.005254"
"47","2014-04","-0.005125"
"53","2014-04","-0.005785"
"69","2014-04","-0.005254"
"79","2014-04","-0.005125"
"85","2014-04","-0.005785"
"95","2014-04","-0.005657"
"101","2014-04","-0.005254"
"111","2014-04","-0.005125"
"117","2014-04","-0.005785"
"127","2014-04","-0.005657"
"33","2014-04","-0.003058"
"20","2014-04","-0.011790"
"10","2014-05","-0.022212"
"5","2014-05","0.012345"
"15","2014-05","0.012073"
"21","2014-05","0.013985"
"31","2014-05","0.013713"
"63","2014-05","0.013713"
"37","2014-05","0.012345"
"47","2014-05","0.012073"
"53","2014-05","0.013985"
"69","2014-05","0.012345"
"79","2014-05","0.012073"
"85","2014-05","0.013985"
