"Symbol","TradingDate","ChangeRatio"
"000300","2020-01-30","0.000000"
"000300","2020-01-31","0.000000"
"000300","2020-02-03","-0.078809"
"000300","2020-02-04","0.026375"
"000300","2020-02-05","0.011329"
"000300","2020-02-06","0.018610"
"000300","2020-02-07","0.000024"
"000300","2020-02-10","0.004138"
"000300","2020-02-11","0.009310"
"000300","2020-02-12","0.008088"
"000300","2020-02-13","-0.006152"
"000300","2020-02-14","0.007024"
"000300","2020-02-17","0.022491"
"000300","2020-02-18","-0.004884"
"000300","2020-02-19","-0.001528"
"000300","2020-02-20","0.023041"
"000300","2020-02-21","0.001166"
"000300","2020-02-24","-0.004013"
"000300","2020-02-25","-0.002174"
"000300","2020-02-26","-0.012328"
"000300","2020-02-27","0.002912"
"000300","2020-02-28","-0.035454"
"000300","2020-03-02","0.032897"
"000300","2020-03-03","0.005331"
"000300","2020-03-04","0.005790"
"000300","2020-03-05","0.022277"
"000300","2020-03-06","-0.016216"
"000300","2020-03-09","-0.034161"
"000300","2020-03-10","0.021415"
"000300","2020-03-11","-0.013301"
"000300","2020-03-12","-0.019243"
"000300","2020-03-13","-0.014072"
"000300","2020-03-16","-0.042993"
"000300","2020-03-17","-0.004871"
"000300","2020-03-18","-0.019793"
"000300","2020-03-19","-0.012970"
"000300","2020-03-20","0.017868"
"000300","2020-03-23","-0.033646"
"000300","2020-03-24","0.026856"
"000300","2020-03-25","0.026869"
"000300","2020-03-26","-0.006574"
"000300","2020-03-27","0.003249"
"000300","2020-03-30","-0.009690"
"000300","2020-03-31","0.003278"
"000300","2020-04-01","-0.003006"
"000300","2020-04-02","0.016178"
"000300","2020-04-03","-0.005707"
"000300","2020-04-06","0.000000"
"000300","2020-04-07","0.022838"
"000300","2020-04-08","-0.004654"
"000300","2020-04-09","0.003298"
"000300","2020-04-10","-0.006231"
"000300","2020-04-13","-0.004224"
"000300","2020-04-14","0.019301"
"000300","2020-04-15","-0.007407"
"000300","2020-04-16","0.001322"
"000300","2020-04-17","0.009759"
"000300","2020-04-20","0.003638"
"000300","2020-04-21","-0.011784"
"000300","2020-04-22","0.008229"
"000300","2020-04-23","-0.002508"
"000300","2020-04-24","-0.008560"
"000300","2020-04-27","0.006794"
"000300","2020-04-28","0.006900"
"000300","2020-04-29","0.004646"
"000300","2020-04-30","0.011778"
"000300","2020-05-01","0.000000"
"000300","2020-05-04","0.000000"
"000300","2020-05-05","0.000000"
"000300","2020-05-06","0.006052"
"000300","2020-05-07","-0.002886"
"000300","2020-05-08","0.009867"
"000300","2020-05-11","-0.000868"
"000300","2020-05-12","0.000015"
"000300","2020-05-13","0.002024"
"000300","2020-05-14","-0.010845"
"000300","2020-05-15","-0.003160"
"000300","2020-05-18","0.002580"
"000300","2020-05-19","0.008498"
"000300","2020-05-20","-0.005315"
"000300","2020-05-21","-0.005445"
"000300","2020-05-22","-0.022927"
"000300","2020-05-25","0.001376"
"000300","2020-05-26","0.011345"
"000300","2020-05-27","-0.007012"
"000300","2020-05-28","0.002865"
"000300","2020-05-29","0.002694"
"000300","2020-06-01","0.026976"
"000300","2020-06-02","0.003079"
"000300","2020-06-03","0.000020"
"000300","2020-06-04","-0.000367"
"000300","2020-06-05","0.004788"
"000300","2020-06-08","0.005174"
"000300","2020-06-09","0.006234"
"000300","2020-06-10","-0.001810"
"000300","2020-06-11","-0.010847"
"000300","2020-06-12","0.001801"
"000300","2020-06-15","-0.012014"
"000300","2020-06-16","0.015065"
"000300","2020-06-17","0.000753"
"000300","2020-06-18","0.006668"
"000300","2020-06-19","0.013432"
"000300","2020-06-22","0.000814"
"000300","2020-06-23","0.004814"
"000300","2020-06-24","0.004172"
"000300","2020-06-25","0.000000"
"000300","2020-06-26","0.000000"
"000300","2020-06-29","-0.007073"
"000300","2020-06-30","0.013200"
"000300","2020-07-01","0.020130"
"000300","2020-07-02","0.020731"
"000300","2020-07-03","0.019316"
"000300","2020-07-06","0.056679"
"000300","2020-07-07","0.006002"
"000300","2020-07-08","0.016151"
"000300","2020-07-09","0.013986"
"000300","2020-07-10","-0.018104"
"000300","2020-07-13","0.021003"
"000300","2020-07-14","-0.009535"
"000300","2020-07-15","-0.012945"
"000300","2020-07-16","-0.048101"
"000300","2020-07-17","0.006299"
"000300","2020-07-20","0.029838"
"000300","2020-07-21","0.002294"
"000300","2020-07-22","0.004989"
"000300","2020-07-23","-0.000426"
"000300","2020-07-24","-0.043893"
"000300","2020-07-27","0.005073"
"000300","2020-07-28","0.008791"
"000300","2020-07-29","0.024243"
"000300","2020-07-30","-0.004885"
"000300","2020-07-31","0.008353"
"000300","2020-08-03","0.016244"
"000300","2020-08-04","0.000941"
"000300","2020-08-05","0.000274"
"000300","2020-08-06","-0.003003"
"000300","2020-08-07","-0.011514"
"000300","2020-08-10","0.003599"
"000300","2020-08-11","-0.009119"
"000300","2020-08-12","-0.007292"
"000300","2020-08-13","-0.002567"
"000300","2020-08-14","0.014866"
"000300","2020-08-17","0.023508"
"000300","2020-08-18","-0.000513"
"000300","2020-08-19","-0.014976"
"000300","2020-08-20","-0.012978"
"000300","2020-08-21","0.008482"
