Month,rm,rf
2015-09,-0.05469,0.0015906785714285717
2015-10,0.11874,0.0015637037037037037
2015-11,0.019976,0.0014880952380952378
2015-12,0.04078,0.0015339855072463771
2016-01,-0.232291,0.0016489583333333334
2016-02,-0.022837,0.001660648148148148
2016-03,0.12757,0.0016447826086956523
2016-04,-0.021552,0.0016740958333333333
2016-05,0.001034,0.001669416666666667
2016-06,0.005172,0.0016781746031746033
2016-07,0.014978,0.0016745634920634922
2016-08,0.038246,0.0016876666666666667
2016-09,-0.020606,0.0017791309523809526
2016-10,0.023716,0.0018320833333333334
2016-11,0.048397,0.001876030303030303
2016-12,-0.059818,0.001916905303030303
2017-01,0.01457,0.0018338859649122807
2017-02,0.024241,0.0019578859649122806
2017-03,-0.001611,0.0020743369565217394
2017-04,-0.012079,0.0021339517543859645
2017-05,-0.007136,0.0022833928571428575
2017-06,0.05093,0.0023169126984126983
2017-07,0.02123,0.0022330238095238093
2017-08,0.023882,0.0023503068181818187
2017-09,0.008456,0.0022924772727272724
2017-10,0.029954,0.002220946078431372
2017-11,-0.012472,0.0022732651515151516
2017-12,0.004016,0.002227103174603175
2018-01,0.042263,0.0022054924242424245
2018-02,-0.050958,0.002154020833333333
2018-03,-0.019276,0.0021709659090909093
2018-04,-0.037697,0.002215921052631579
2018-05,0.004122,0.0021759469696969696
2018-06,-0.080887,0.0021326315789473686
2018-07,3.2e-05,0.0019423106060606065
2018-08,-0.057037,0.0018301449275362318
2018-09,0.022918,0.0020596031746031745
2018-10,-0.089362,0.0019258796296296296
2018-11,0.010268,0.001985202380952381
2018-12,-0.050211,0.0019748412698412697
2019-01,0.048533,0.001686613636363636
2019-02,0.159347,0.0017911960784313728
2019-03,0.067024,0.001956190476190476
2019-04,-0.002865,0.0019570454545454544
2019-05,-0.07293,0.00182068253968254
2019-06,0.042863,0.001267631578947368
2019-07,-0.000297,0.0017587427536231884
2019-08,-0.007947,0.002147507575757575
2019-09,0.005627,0.0020003749999999995
2019-10,0.013358,0.002059298245614035
2019-11,-0.012543,0.0018332142857142857
2019-12,0.071435,0.0015389880952380952
2020-01,-0.012292,0.001604156862745098
2020-02,-0.008668,0.0013370634920634918
2020-03,-0.067126,0.0010897348484848483
2020-04,0.061561,0.0008402757936507936
2020-05,-0.006307,0.0010610648148148146
2020-06,0.078748,0.0014400833333333336
2020-07,0.126155,0.0015191304347826086
2020-08,0.02275,0.0016305357142857144
2020-09,-0.053387,0.0013994927536231884
2020-10,0.014684,0.0016983823529411765
2020-11,0.051213,0.0015409126984126985
2020-12,0.040613,0.0008825000000000003
2021-01,0.020228,0.0015738333333333333
2021-02,-0.001589,0.0015987254901960784
2021-03,-0.04599,0.0015959057971014492
2021-04,0.019887,0.0015851893939393942
2021-05,0.039901,0.0016634210526315794
2021-06,-0.012994,0.0016870238095238095
2021-07,-0.062761,0.001671136363636364
2021-08,0.016167,0.0016754924242424244
2021-09,0.004252,0.0016992424242424245
2021-10,0.003804,0.001631176470588235
2021-11,-0.003992,0.0016214015151515154
2021-12,0.020264,0.0015766666666666665
2022-01,-0.083353,0.0015679761904761904
2022-02,0.012716,0.0016608333333333334
2022-03,-0.078057,0.0016265217391304347
