PERMNO,date,TICKER,PRC,RET,sprtrn
84403,2020/12/23,WWD,121.48000,0.018529,0.000746
84403,2020/12/24,WWD,121.00000,-0.003951,0.003537
84403,2020/12/28,WWD,120.80000,-0.001653,0.008723
84403,2020/12/29,WWD,121.01000,0.001738,-0.002227
84403,2020/12/30,WWD,121.78000,0.006363,0.001342
84403,2020/12/31,WWD,121.53000,-0.002053,0.006439
84403,2021/01/04,WWD,118.87000,-0.021888,-0.014755
84403,2021/01/05,WWD,121.15000,0.019181,0.007083
84403,2021/01/06,WWD,127.12000,0.049278,0.005710
84403,2021/01/07,WWD,124.85000,-0.017857,0.014847
84403,2021/01/08,WWD,125.00000,0.001201,0.005492
84403,2021/01/11,WWD,125.24000,0.001920,-0.006555
84403,2021/01/12,WWD,126.64000,0.011179,0.000416
84403,2021/01/13,WWD,124.33000,-0.018241,0.002276
84403,2021/01/14,WWD,125.85000,0.012226,-0.003753
84403,2021/01/15,WWD,122.77000,-0.024474,-0.007190
84403,2021/01/19,WWD,123.98000,0.009856,0.008136
84403,2021/01/20,WWD,125.04000,0.008550,0.013936
84403,2021/01/21,WWD,122.35000,-0.021513,0.000317
84403,2021/01/22,WWD,122.02000,-0.002697,-0.003011
84403,2021/01/25,WWD,119.03000,-0.024504,0.003616
84403,2021/01/26,WWD,117.04000,-0.016718,-0.001489
84403,2021/01/27,WWD,110.70000,-0.054170,-0.025678
84403,2021/01/28,WWD,115.20000,0.040650,0.009761
84403,2021/01/29,WWD,111.95000,-0.028212,-0.019312
84403,2021/02/01,WWD,115.18000,0.028852,0.016052
84403,2021/02/02,WWD,118.07000,0.025091,0.013898
84403,2021/02/03,WWD,115.35000,-0.023037,0.001009
84403,2021/02/04,WWD,117.06000,0.014824,0.010853
84403,2021/02/05,WWD,116.66000,-0.003417,0.003897
84403,2021/02/08,WWD,116.64000,-0.000171,0.007399
84403,2021/02/09,WWD,115.47000,-0.010031,-0.001113
84403,2021/02/10,WWD,115.33000,-0.001212,-0.000345
84403,2021/02/11,WWD,116.00000,0.005809,0.001662
84403,2021/02/12,WWD,116.08000,0.000690,0.004711
84403,2021/02/16,WWD,114.68000,-0.012061,-0.000569
84403,2021/02/17,WWD,114.00000,-0.005930,-0.000320
84403,2021/02/18,WWD,112.63000,-0.012018,-0.004416
84403,2021/02/19,WWD,115.82000,0.029766,-0.001855
84403,2021/02/22,WWD,118.96000,0.027111,-0.007733
84403,2021/02/23,WWD,119.44000,0.004035,0.001256
84403,2021/02/24,WWD,121.85000,0.020177,0.011352
84403,2021/02/25,WWD,117.05000,-0.039393,-0.024479
84403,2021/02/26,WWD,114.22000,-0.024178,-0.004750
84403,2021/03/01,WWD,119.18000,0.043425,0.023791
84403,2021/03/02,WWD,117.21000,-0.016530,-0.008081
84403,2021/03/03,WWD,116.42000,-0.006740,-0.013066
84403,2021/03/04,WWD,115.53000,-0.007645,-0.013417
84403,2021/03/05,WWD,115.23000,-0.002597,0.019496
84403,2021/03/08,WWD,115.24000,0.000087,-0.005359
84403,2021/03/09,WWD,115.75000,0.004426,0.014155
84403,2021/03/10,WWD,117.80000,0.017711,0.006030
84403,2021/03/11,WWD,116.95000,-0.007216,0.010395
84403,2021/03/12,WWD,120.75000,0.032493,0.001015
84403,2021/03/15,WWD,124.26000,0.029068,0.006492
84403,2021/03/16,WWD,121.57000,-0.021648,-0.001570
84403,2021/03/17,WWD,123.73000,0.017768,0.002879
84403,2021/03/18,WWD,121.48000,-0.018185,-0.014761
84403,2021/03/19,WWD,121.03000,-0.003704,-0.000603
84403,2021/03/22,WWD,120.19000,-0.006940,0.007025
84403,2021/03/23,WWD,118.79000,-0.011648,-0.007631
84403,2021/03/24,WWD,119.66000,0.007324,-0.005467
84403,2021/03/25,WWD,122.00000,0.019555,0.005240
84403,2021/03/26,WWD,123.34000,0.010984,0.016631
84403,2021/03/29,WWD,120.72000,-0.021242,-0.000868
84403,2021/03/30,WWD,121.22000,0.004142,-0.003158
84403,2021/03/31,WWD,120.63000,-0.004867,0.003623
84403,2021/04/01,WWD,123.14000,0.020807,0.011825
84403,2021/04/05,WWD,123.40000,0.002111,0.014438
