"Stkcd","Trdmnt","Mretwd"
"300758","2021-02","0.089912"
"300758","2021-03","-0.085714"
"300758","2021-04","-0.066461"
"300758","2021-05","0.044790"
"300758","2021-06","0.146209"
"300759","2019-07","0.043398"
"300759","2019-08","0.175246"
"300759","2019-09","0.114170"
"300759","2019-10","0.203437"
"300759","2019-11","-0.144948"
"300759","2019-12","0.075992"
"300759","2020-01","0.136981"
"300759","2020-02","-0.015870"
"300759","2020-03","0.028784"
"300759","2020-04","0.080061"
"300759","2020-05","0.084738"
"300759","2020-06","0.415624"
"300759","2020-07","0.067930"
"300759","2020-08","0.049271"
"300759","2020-09","-0.055404"
"300759","2020-10","0.105769"
"300759","2020-11","-0.186087"
"300759","2020-12","0.286325"
"300759","2021-01","0.188621"
"300759","2021-02","-0.110824"
"300759","2021-03","0.177917"
"300759","2021-04","0.082060"
"300759","2021-05","0.111659"
"300759","2021-06","0.205157"
"300760","2019-07","-0.026348"
"300760","2019-08","0.172750"
"300760","2019-09","-0.010142"
"300760","2019-10","-0.035021"
"300760","2019-11","0.009551"
"300760","2019-12","0.012243"
"300760","2020-01","0.031776"
"300760","2020-02","0.273444"
"300760","2020-03","0.094979"
"300760","2020-04","-0.020634"
"300760","2020-05","0.094059"
"300760","2020-06","0.096485"
"300760","2020-07","0.135067"
"300760","2020-08","-0.013084"
"300760","2020-09","0.016207"
"300760","2020-10","0.111494"
"300760","2020-11","-0.127844"
"300760","2020-12","0.262783"
"300760","2021-01","0.052559"
"300760","2021-02","-0.067776"
"300760","2021-03","-0.045191"
"300760","2021-04","0.168475"
"300760","2021-05","0.041046"
"300760","2021-06","-0.006108"
"300761","2019-07","0.198731"
"300761","2019-08","0.089819"
"300761","2019-09","-0.038280"
"300761","2019-10","0.049755"
"300761","2019-11","-0.190860"
"300761","2019-12","0.038643"
"300761","2020-01","-0.164141"
"300761","2020-02","0.018933"
"300761","2020-03","0.030441"
"300761","2020-04","-0.186457"
"300761","2020-05","-0.021765"
"300761","2020-06","-0.047925"
"300761","2020-07","0.079398"
"300761","2020-08","0.056971"
"300761","2020-09","-0.203320"
"300761","2020-10","0.012561"
"300761","2020-11","0.031576"
"300761","2020-12","-0.152227"
"300761","2021-01","0.066409"
"300761","2021-02","0.137243"
"300761","2021-03","-0.016481"
"300761","2021-04","-0.006473"
"300761","2021-05","-0.049454"
"300761","2021-06","-0.047715"
"300762","2019-07","0.009483"
"300762","2019-08","0.054654"
"300762","2019-09","-0.089879"
"300762","2019-10","-0.025979"
"300762","2019-11","-0.115090"
"300762","2019-12","0.112717"
"300762","2020-01","-0.004824"
"300762","2020-02","-0.052946"
"300762","2020-03","-0.055118"
"300762","2020-04","0.012500"
"300762","2020-05","-0.011317"
"300762","2020-06","0.063819"
"300762","2020-07","0.320690"
"300762","2020-08","0.182056"
"300762","2020-09","-0.210843"
"300762","2020-10","-0.058524"
"300762","2020-11","0.196486"
"300762","2020-12","-0.021911"
"300762","2021-01","0.140416"
"300762","2021-02","-0.099230"
"300762","2021-03","-0.125450"
"300762","2021-04","0.088689"
"300762","2021-05","0.039197"
"300762","2021-06","0.028686"
"300763","2019-07","-0.139108"
"300763","2019-08","0.000270"
"300763","2019-09","0.040723"
"300763","2019-10","-0.046420"
"300763","2019-11","-0.012552"
"300763","2019-12","0.173164"
"300763","2020-01","0.209969"
"300763","2020-02","0.287562"
"300763","2020-03","0.063369"
"300763","2020-04","-0.016715"
"300763","2020-05","0.040606"
"300763","2020-06","0.547694"
"300763","2020-07","0.377438"
"300763","2020-08","0.080766"
"300763","2020-09","0.248143"
"300763","2020-10","0.051004"
"300763","2020-11","-0.156066"
"300763","2020-12","0.423250"
"300763","2021-01","0.406174"
"300763","2021-02","-0.212868"
"300763","2021-03","-0.083131"
"300763","2021-04","0.361749"
"300763","2021-05","0.053858"
"300763","2021-06","0.414838"
"300765","2019-07","-0.017453"
"300765","2019-08","-0.065779"
"300765","2019-09","0.067142"
"300765","2019-10","-0.003062"
"300765","2019-11","-0.059481"
"300765","2019-12","0.059976"
"300765","2020-01","-0.002241"
"300765","2020-02","0.006457"
"300765","2020-03","0.393026"
"300765","2020-04","-0.089844"
"300765","2020-05","-0.066728"
"300765","2020-06","0.119166"
"300765","2020-07","0.008873"
"300765","2020-08","0.094107"
"300765","2020-09","-0.139469"
"300765","2020-10","0.068659"
"300765","2020-11","-0.056818"
"300765","2020-12","-0.132994"
"300765","2021-01","-0.118653"
"300765","2021-02","0.092783"
"300765","2021-03","-0.017203"
"300765","2021-04","0.013515"
"300765","2021-05","0.085215"
"300765","2021-06","-0.074497"
"300766","2019-07","-0.017288"
"300766","2019-08","-0.024881"
"300766","2019-09","-0.028608"
"300766","2019-10","-0.029451"
"300766","2019-11","-0.134773"
"300766","2019-12","0.036651"
"300766","2020-01","0.173423"
"300766","2020-02","-0.061039"
"300766","2020-03","-0.284094"
"300766","2020-04","0.066074"
"300766","2020-05","0.051105"
"300766","2020-06","0.314416"
"300766","2020-07","-0.076721"
"300766","2020-08","-0.033011"
"300766","2020-09","-0.105356"
"300766","2020-10","-0.123026"
"300766","2020-11","0.024006"
"300766","2020-12","-0.395971"
"300766","2021-01","-0.040631"
"300766","2021-02","-0.039191"
"300766","2021-03","-0.059211"
"300766","2021-04","-0.103496"
"300766","2021-05","0.071763"
"300766","2021-06","0.094781"
"300767","2019-07","-0.130936"
"300767","2019-08","-0.013893"
"300767","2019-09","0.410770"
"300767","2019-10","-0.119840"
"300767","2019-11","0.243066"
"300767","2019-12","0.227383"
"300767","2020-01","-0.028260"
"300767","2020-02","0.540136"
"300767","2020-03","-0.213781"
"300767","2020-04","0.097331"
"300767","2020-05","0.319596"
"300767","2020-06","0.153674"
"300767","2020-07","0.247309"
"300767","2020-08","0.170678"
"300767","2020-09","-0.172170"
"300767","2020-10","-0.094079"
"300767","2020-11","-0.040570"
"300767","2020-12","0.053543"
"300767","2021-01","0.241096"
"300767","2021-02","-0.169978"
"300767","2021-03","0.100931"
"300767","2021-04","0.089262"
"300767","2021-05","0.200599"
"300767","2021-06","0.076199"
"300768","2019-07","0.011161"
"300768","2019-08","-0.048357"
"300768","2019-09","0.014085"
"300768","2019-10","-0.005174"
"300768","2019-11","-0.087325"
"300768","2019-12","0.093881"
